,Year,Player,PF,PTS
16062,2003,Devin Brown,3,12
17537,2005,Paul Shirley,3,12
19456,2009,Brian Cook,3,12
21020,2011,Jerry Stackhouse,3,12
24188,2017,Omri Casspi,3,12
2712,1969,Bob Ferry,3,13
8407,1987,Kenny Fields,3,13
11520,1994,Mike Gminski,3,13
14468,1999,Korleone Young,3,13
16587,2004,Matt Carroll,3,13
23724,2016,Justin Harper,3,13
6954,1983,Scott Hastings,3,14
7847,1985,Dane Suttle,3,14
9365,1989,Pete Myers,3,14
10735,1992,John Morton,3,14
21774,2013,Josh Childress,3,14
22765,2014,James Southerland,3,14
22767,2014,James Southerland,3,14
23765,2016,Josh Huestis,3,14
1697,1962,Ed Burton,3,15
6033,1980,Robert Smith,3,15
8414,1987,Mike Glenn,3,15
11867,1995,Elmer Bennett,3,15
17477,2005,Smush Parker,3,15
22615,2014,Cartier Martin,3,15
22653,2014,Darius Morris,3,15
7534,1984,Rory White,3,16
8974,1988,Richard Rellford,3,16
17314,2005,Eddie House,3,16
20250,2010,Acie Law,3,16
20605,2011,Rasual Butler,3,16
21796,2013,Jared Cunningham,3,16
22388,2014,Robert Covington,3,16
13203,1997,Martin Muursepp,3,17
13318,1997,Kenny Smith,3,17
18955,2008,Taurean Green,3,17
21298,2012,Courtney Fortson,3,17
20208,2010,Mike James,3,18
3422,1972,Jake Jones,3,19
5352,1978,Wilson Washington,3,19
12879,1997,Dexter Boney,3,19
19278,2008,Von Wafer,3,19
922,1955,Fred Christ,3,20
14317,1999,Elliot Perry,3,20
21373,2012,Tyler Honeycutt,3,20
6677,1982,John McCullough,3,21
7149,1983,Larry Spriggs,3,21
14009,1999,Earl Boykins,3,21
15924,2002,Reggie Slater,3,21
23046,2015,Tyler Ennis,3,22
23190,2015,Sean Kilpatrick,3,22
23715,2016,Jorge Gutierrez,3,22
3493,1972,Luther Rackley,3,23
22361,2014,Andrew Bynum,3,23
13513,1998,James Cotton,3,24
23919,2016,Steve Novak,3,24
12970,1997,Aleksandar Djordjevic,3,25
19394,2009,Chauncey Billups,3,25
21083,2011,Kyle Weaver,3,28
3351,1972,Archie Clark,3,29
10768,1992,Bobby Phills,3,31
1846,1963,Jack Foley,3,32
23450,2015,Marcus Thornton,3,32
6025,1980,Ralph Simpson,3,41
22954,2015,Dwight Buycks,3,52
19603,2009,Allen Iverson*,3,56
132,1950,Lee Knorek,4,0
2047,1964,Ken Rohloff,4,0
9738,1990,Steve Johnson,4,0
12649,1996,Mike Peplowski,4,0
14456,1999,Scott Williams,4,0
16624,2004,Hubert Davis,4,0
16818,2004,Jelani McCoy,4,0
21304,2012,Dan Gadzuric,4,0
24272,2017,Patricio Garino,4,0
9712,1990,Mike Higgins,4,1
15789,2002,Darrick Martin,4,1
16073,2003,Mark Bryant,4,1
16368,2003,Don Reid,4,1
17493,2005,Pavel Podkolzin,4,1
1017,1955,Skippy Whitaker,4,2
1568,1960,Ron Sobie,4,2
4451,1976,Larry Fogle,4,2
5081,1978,Norm Cook,4,2
5769,1980,Roger Brown,4,2
7886,1985,Mark West,4,2
11336,1993,Lorenzo Williams,4,2
11399,1994,Manute Bol,4,2
12374,1996,Charles Claxton,4,2
13966,1999,Peter Aluma,4,2
14136,1999,Paul Grant,4,2
15057,2001,John Coker,4,2
16468,2003,Brandon Williams,4,2
18152,2006,John Thomas,4,2
19591,2009,Juwan Howard,4,2
20139,2010,Jason Hart,4,2
20141,2010,Jason Hart,4,2
22097,2013,Dexter Pittman,4,2
22837,2014,Maalik Wayns,4,2
24014,2016,Alex Stepheson,4,2
1735,1962,Ron Horn,4,3
10224,1991,Bart Kofoed,4,3
13867,1998,Ed Stokes,4,3
15071,2001,Bill Curley,4,3
15571,2002,Ernest Brown,4,3
20541,2011,Renaldo Balkman,4,3
23060,2015,Jamaal Franklin,4,3
2826,1969,Doug Sims,4,4
5767,1980,John Brown,4,4
8763,1988,Darryl Dawkins,4,4
11461,1994,Earl Cureton,4,4
11812,1994,Aaron Williams,4,4
12250,1995,Fred Vinson,4,4
13102,1997,Tim Kempton,4,4
14135,1999,Paul Grant,4,4
14404,1999,Bruno Sundov,4,4
14922,2000,Mirsad Turkcan,4,4
14924,2000,Wayne Turner,4,4
18224,2006,Derrick Zimmerman,4,4
18552,2007,Randolph Morris,4,4
19629,2009,Trey Johnson,4,4
19806,2009,Cheikh Samb,4,4
20138,2010,Mike Harris,4,4
20947,2011,Sasha Pavlovic,4,4
39,1950,Paul Cloyd,4,5
278,1950,Art Spector,4,5
2231,1966,Jesse Branson,4,5
7268,1984,Geoff Crompton,4,5
7665,1985,Butch Graves,4,5
12918,1997,Jimmy Carruth,4,5
14110,1999,Duane Ferrell,4,5
15885,2002,Eldridge Recasner,4,5
18514,2007,Renaldo Major,4,5
18658,2007,Steven Smith,4,5
23314,2015,Adreian Payne,4,5
1630,1961,Ron Johnson,4,6
1842,1963,Dave Fedor,4,6
4588,1976,Ed Searcy,4,6
4817,1977,Jimmy Jones,4,6
5804,1980,Terry Crosby,4,6
12804,1996,Herb Williams,4,6
12950,1997,Lloyd Daniels,4,6
14823,2000,Andrae Patterson,4,6
17144,2005,Michael Bradley,4,6
17148,2005,Torraye Braggs,4,6
17435,2005,Jerome Moiso,4,6
18307,2007,Anthony Carter,4,6
18518,2007,Sean Marks,4,6
20542,2011,Marcus Banks,4,6
22096,2013,Dexter Pittman,4,6
22280,2014,Joel Anthony,4,6
22791,2014,Lance Thomas,4,6
24361,2017,Jarrett Jack,4,6
1133,1957,John Barber,4,7
1206,1957,Jim Ray,4,7
1585,1961,Ernie Beck,4,7
2300,1966,Bud Olsen,4,7
6490,1982,David Burns,4,7
9655,1990,Jay Edwards,4,7
11259,1993,Dwayne Schintzius,4,7
11806,1994,Morlon Wiley,4,7
12538,1996,Frankie King,4,7
13996,1999,Mario Bennett,4,7
15570,2002,Dee Brown,4,7
15658,2002,Greg Foster,4,7
17244,2005,Andre Emmett,4,7
20550,2011,Earl Barron,4,7
22164,2013,Julyan Stone,4,7
22334,2014,Ronnie Brewer,4,7
22335,2014,Ronnie Brewer,4,7
22789,2014,Adonis Thomas,4,7
1136,1957,Gary Bergen,4,8
4054,1974,Chuck Terry,4,8
5008,1978,Zaid Abdul-Aziz,4,8
7135,1983,Jim Smith,4,8
7508,1984,Linton Townes,4,8
10017,1991,Greg Anderson,4,8
11934,1995,Tony Dawson,4,8
15007,2001,Etdrick Bohannon,4,8
15914,2002,Daniel Santiago,4,8
16884,2004,Doug Overton,4,8
18255,2007,Andre Barrett,4,8
20460,2010,Henry Walker,4,8
22413,2014,Austin Daye,4,8
23757,2016,Ryan Hollins,4,8
23894,2016,Nazr Mohammed,4,8
23898,2016,Eric Moreland,4,8
2610,1968,Flynn Robinson,4,9
2788,1969,Jay Miller,4,9
3686,1973,Gar Heard,4,9
6148,1981,Geoff Crompton,4,9
7600,1985,Howard Carter,4,9
8475,1987,Curtis Kitchen,4,9
11188,1993,Dan O'Sullivan,4,9
12778,1996,Logan Vander,4,9
15154,2001,Zendon Hamilton,4,9
17663,2006,Alex Acker,4,9
19654,2009,Shaun Livingston,4,9
20938,2011,Larry Owens,4,9
23165,2015,Grant Jerrett,4,9
2273,1966,Art Heyman,4,10
6936,1983,Calvin Garrett,4,10
10533,1992,Rex Chapman,4,10
10609,1992,Ron Grandison,4,10
15383,2001,J.R. Reid,4,10
17762,2006,Kelvin Cato,4,10
18631,2007,Bernard Robinson,4,10
19716,2009,Adam Morrison,4,10
20127,2010,Taylor Griffin,4,10
21129,2012,Blake Ahearn,4,10
21888,2013,Josh Harrellson,4,10
22107,2013,Chris Quinn,4,10
23800,2016,Orlando Johnson,4,10
439,1951,Tommy O'Keefe,4,11
1005,1955,Gene Shue,4,11
1103,1956,Bob Santini,4,11
2652,1968,Ken Wilburn,4,11
9931,1990,Leonard Taylor,4,11
11293,1993,Alex Stivrins,4,11
14365,1999,Jason Sasser,4,11
14908,2000,Johnny Taylor,4,11
16263,2003,Tito Maddox,4,11
17503,2005,Peter John,4,11
19342,2009,Hassan Adams,4,11
21661,2012,Sean Williams,4,11
3786,1973,Sam Sibert,4,12
3980,1974,Ted Manakas,4,12
8758,1988,Charles Davis,4,12
10632,1992,Gerald Henderson,4,12
17154,2005,Kedrick Brown,4,12
19255,2008,Billy Thomas,4,12
24651,2017,Briante Weber,4,12
1571,1960,Wayne Stevens,4,13
11775,1994,Larry Stewart,4,13
19138,2008,Demetris Nichols,4,13
19565,2009,Jason Hart,4,13
23530,2016,Chris Andersen,4,13
23706,2016,Erick Green,4,13
23708,2016,Erick Green,4,13
24675,2017,Kyle Wiltjer,4,13
2111,1965,Bob Duffy,4,14
4068,1974,Jimmy Walker,4,14
6899,1983,Mike Davis,4,14
10481,1992,Kenny Battle,4,14
12332,1996,Muggsy Bogues,4,14
12732,1996,Reggie Slater,4,14
12750,1996,Elmore Spencer,4,14
19253,2008,Billy Thomas,4,14
21445,2012,Travis Leslie,4,14
24176,2017,Bruno Caboclo,4,14
3147,1971,Gary Freeman,4,15
13746,1998,Brian Oliver,4,15
19136,2008,Demetris Nichols,4,15
20503,2011,Maurice Ager,4,15
22059,2013,Kevin Murphy,4,15
1835,1963,Danny Doyle,4,16
3730,1973,Kenny McIntosh,4,16
9755,1990,Stan Kimbrough,4,16
20844,2011,Jason Kapono,4,16
23631,2016,Jared Cunningham,4,16
1543,1960,Cal Ramsey,4,17
2247,1966,Johnny Egan,4,17
10171,1991,Scott Haffner,4,17
10718,1992,Travis Mays,4,17
10900,1992,Randy Wittman,4,17
14074,1999,Ben Davis,4,17
19032,2008,DerMarr Johnson,4,17
19523,2009,Adonal Foyle,4,17
21503,2012,Andres Nocioni,4,17
21820,2013,Chris Douglas-Roberts,4,17
23260,2015,Quincy Miller,4,17
2626,1968,Craig Spitzer,4,18
12468,1996,Ron Grandison,4,18
18945,2008,Marcin Gortat,4,18
19774,2009,Shavlik Randolph,4,18
23141,2015,Lester Hudson,4,18
6944,1983,John Greig,4,19
7646,1985,Chris Engler,4,19
11623,1994,Todd Lichti,4,19
22452,2014,Carrick Felix,4,19
8924,1988,Andre Moore,4,20
23584,2016,Lorenzo Brown,4,20
24505,2017,Johnny O'Bryant,4,20
8605,1987,Jeff Taylor,4,21
18922,2008,Thomas Gardner,4,21
19083,2008,Ian Mahinmi,4,21
20722,2011,Sundiata Gaines,4,21
22927,2015,Vander Blue,4,22
23701,2016,Andrew Goudelock,4,22
7267,1984,Charlie Criss,4,23
19529,2009,Thomas Gardner,4,24
17870,2006,Zendon Hamilton,4,25
5280,1978,Kevin Restani,4,26
18132,2006,Amar'e Stoudemire,4,26
19361,2009,Gilbert Arenas,4,26
23505,2015,Brandan Wright,4,26
19277,2008,Von Wafer,4,27
21572,2012,Ish Smith,4,27
22814,2014,Beno Udrih,4,27
18995,2008,Troy Hudson,4,28
19272,2008,Marcus Vinicius,4,28
1996,1964,Jerry Harkness,4,29
10796,1992,Cliff Robinson,4,29
17337,2005,Luke Jackson,4,29
11697,1994,Gerald Paddio,4,30
19052,2008,Coby Karl,4,30
21941,2013,Charles Jenkins,4,30
22623,2014,Eric Maynor,4,30
19497,2009,Quincy Douby,4,31
8691,1988,Richard Anderson,4,32
10898,1992,Kennard Winchester,4,33
12783,1996,Rex Walters,4,33
19631,2009,Damon Jones,4,33
24134,2017,Jerryd Bayless,4,33
13528,1998,Lloyd Daniels,4,34
2471,1967,Bob Warlick,4,36
15706,2002,Cedric Henderson,4,36
19466,2009,Austin Croshere,4,36
21032,2011,Jermaine Taylor,4,39
21115,2011,Terrence Williams,4,39
24475,2017,Anthony Morrow,4,41
12311,1996,Darrell Armstrong,4,42
20980,2011,Michael Redd,4,44
10101,1991,Johnny Dawkins,4,63
3627,1973,Pete Cross,5,0
8093,1986,Ozell Jones,5,0
12532,1996,Tim Kempton,5,0
14464,1999,Trevor Winter,5,0
15238,2001,Art Long,5,0
15507,2002,Tariq Abdul-Wahad,5,0
23970,2016,Nate Robinson,5,0
7552,1984,Michael Wilson,5,1
13306,1997,James Scott,5,1
16920,2004,Joel Przybilla,5,1
291,1950,Dick Triptow,5,2
3162,1971,Shaler Halimon,5,2
19335,2008,Lorenzen Wright,5,2
20637,2011,Jarron Collins,5,2
16813,2004,Roger Mason,5,3
161,1950,Mike McCarron,5,4
4666,1977,Norton Barnhill,5,4
4855,1977,Clyde Mayes,5,4
5619,1979,Stan Pietkiewicz,5,4
6087,1981,Tom Abernethy,5,4
7391,1984,Darrell Lockhart,5,4
7421,1984,Bob Miller,5,4
7740,1985,Sidney Lowe,5,4
8128,1986,Brian Martin,5,4
9593,1990,Torgeir Bryn,5,4
13380,1997,Ennis Whatley,5,4
17495,2005,Mark Pope,5,4
20953,2011,Morris Peterson,5,4
21160,2012,Earl Barron,5,4
21294,2012,Jeff Foote,5,4
24572,2017,Larry Sanders,5,4
3742,1973,Mark Minor,5,5
4404,1976,Freddie Boyd,5,5
4880,1977,Allen Murphy,5,5
12460,1996,Gerald Glass,5,5
13397,1997,Reggie Williams,5,5
13816,1998,Donald Royal,5,5
19468,2009,Eddy Curry,5,5
2179,1965,Bevo Nordmann,5,6
2189,1965,John Rudometkin,5,6
3124,1971,Connie Dierking,5,6
3895,1974,Dick Cunningham,5,6
5414,1979,Dennis Boyd,5,6
11032,1993,Jo Jo,5,6
12168,1995,Mark Randall,5,6
12608,1996,Eric Mobley,5,6
14702,2000,DeMarco Johnson,5,6
16588,2004,Matt Carroll,5,6
16787,2004,Dan Langhi,5,6
20035,2010,Will Conroy,5,6
20507,2011,Solomon Alabi,5,6
21593,2012,Hasheem Thabeet,5,6
22442,2014,Melvin Ely,5,6
22477,2014,Ryan Gomes,5,6
23337,2015,A.J. Price,5,6
23541,2016,Keith Appling,5,6
4853,1977,Clyde Mayes,5,7
10773,1992,Dave Popson,5,7
14843,2000,Aleksandar Radojevic,5,7
19135,2008,Ira Newble,5,7
21576,2012,Jerry Smith,5,7
967,1955,Ronnie MacGilvray,5,8
4216,1975,Greg Jackson,5,8
5396,1979,Tom Barker,5,8
6319,1981,Dick Miller,5,8
7528,1984,Brant Weidner,5,8
9342,1989,Pace Mannion,5,8
10028,1991,Cedric Ball,5,8
12514,1996,Jaren Jackson,5,8
14212,1999,Negele Knight,5,8
14286,1999,Rasho Nesterovic,5,8
16562,2004,J.R. Bremer,5,8
16670,2004,Hiram Fuller,5,8
19185,2008,Shavlik Randolph,5,8
160,1950,Mike McCarron,5,9
7365,1984,Eddie Jordan,5,9
7816,1985,Lorenzo Romar,5,9
7982,1986,David Cooke,5,9
11618,1994,Marcus Liberty,5,9
14343,1999,Rodrick Rhodes,5,9
23248,2015,Jerel McNeal,5,9
918,1955,Tom Brennan,5,10
7228,1984,Dave Batton,5,10
10178,1991,Tony Harris,5,10
12933,1997,Randolph Childress,5,10
13992,1999,Corey Beck,5,10
15394,2001,James Robinson,5,10
18101,2006,Jamal Sampson,5,10
19196,2008,Jeremy Richardson,5,10
19923,2010,Alexis Ajinca,5,10
19943,2010,Hilton Armstrong,5,10
20615,2011,DeMarre Carroll,5,10
20616,2011,DeMarre Carroll,5,10
21753,2013,Aaron Brooks,5,10
24601,2017,Diamond Stone,5,10
444,1951,Don Otten,5,11
4573,1976,Pat Riley*,5,11
13960,1998,George Zidek,5,11
14906,2000,Johnny Taylor,5,11
20183,2010,Othello Hunter,5,11
21560,2012,Xavier Silas,5,11
23241,2015,K.J. McDaniels,5,11
24624,2017,Axel Toupane,5,11
7043,1983,Dave Magley,5,12
13215,1997,Moochie Norris,5,12
15733,2002,Tim James,5,12
16162,2003,Anthony Goldwire,5,12
20200,2010,Cedric Jackson,5,12
23261,2015,Quincy Miller,5,12
3246,1971,Bob Riley,5,13
3439,1972,Kevin Loughery,5,13
4590,1976,Gene Short,5,13
5243,1978,Glenn Mosley,5,13
10158,1991,Dan Godfread,5,13
10281,1991,Chris Munk,5,13
12871,1997,Benoit Benjamin,5,13
13032,1997,Evric Gray,5,13
13300,1997,Steve Scheffler,5,13
16688,2004,Anthony Goldwire,5,13
17226,2005,Kaniel Dickens,5,13
18756,2008,Morris Almond,5,13
20275,2010,Desmond Mason,5,13
22098,2013,Miles Plumlee,5,13
22794,2014,Malcolm Thomas,5,13
746,1953,Moe Radovich,5,14
2123,1965,Jerry Grote,5,14
8324,1987,Joe Binion,5,14
9711,1990,Mike Higgins,5,14
13550,1998,Tony Dumas,5,14
14457,1999,Scott Williams,5,14
16891,2004,Jannero Pargo,5,14
19373,2009,Marcus Banks,5,14
21908,2013,Cory Higgins,5,14
22128,2013,Brandon Rush,5,14
24279,2017,Marcus Georges-Hunt,5,14
1258,1958,Bill Ebben,5,15
5249,1978,Louie Nelson,5,15
7856,1985,David Thirdkill,5,15
17264,2005,Reece Gaines,5,15
22792,2014,Malcolm Thomas,5,15
24355,2017,Ersan Ilyasova,5,15
2404,1967,Bob Hogsett,5,16
3631,1973,Bob Davis,5,16
10543,1992,Lanard Copeland,5,16
20481,2010,Mike Wilks,5,16
23011,2015,Brandon Davies,5,16
23799,2016,Orlando Johnson,5,16
24294,2017,Jerami Grant,5,16
8847,1988,Eddie Hughes,5,17
9045,1988,Elston Turner,5,17
10270,1991,Scott Meents,5,17
11224,1993,Anthony Pullard,5,17
15590,2002,Brian Cardinal,5,17
16687,2004,Anthony Goldwire,5,17
17856,2006,Stephen Graham,5,17
19522,2009,Adonal Foyle,5,17
6909,1983,Terry Duerod,5,18
7617,1985,Charlie Criss,5,18
12062,1995,Negele Knight,5,18
13959,1998,George Zidek,5,18
17276,2005,Anthony Goldwire,5,18
21487,2012,Jamario Moon,5,18
38,1950,Paul Cloyd,5,19
961,1955,Dan King,5,19
11977,1995,Alphonso Ford,5,19
12655,1996,Tim Perry,5,19
19463,2009,Javaris Crittenton,5,19
22250,2013,Luke Zeller,5,19
1311,1958,Jerry Paulson,5,20
8933,1988,Jay Murphy,5,20
13261,1997,Shawn Respert,5,20
15027,2001,Rick Brunson,5,20
16592,2004,Maurice Carter,5,20
17826,2006,Marcus Fizer,5,20
21339,2012,Justin Harper,5,20
1847,1963,Jack Foley,5,21
7645,1985,Chris Engler,5,21
12459,1996,Gerald Glass,5,21
20036,2010,Brian Cook,5,21
23883,2016,Jordan Mickey,5,21
9950,1990,Andre Turner,5,22
11089,1993,Byron Irvin,5,22
16591,2004,Maurice Carter,5,22
17911,2006,Jim Jackson,5,22
23034,2015,Zoran Dragic,5,22
437,1951,Tommy O'Keefe,5,23
24005,2016,Russ Smith,5,23
8497,1987,Bill Martin,5,25
20130,2010,Marcus Haislip,5,25
24393,2017,Ryan Kelly,5,25
1855,1963,Gene Guarilia,5,26
1991,1964,Richie Guerin*,5,26
5046,1978,Jim Bostic,5,26
6600,1982,Tracy Jackson,5,26
16168,2003,Horace Grant,5,26
17869,2006,Zendon Hamilton,5,26
3064,1970,Sam Williams,5,27
18954,2008,Taurean Green,5,27
19366,2009,Chucky Atkins,5,27
14346,1999,Pooh Richardson,5,28
10238,1991,Fat Lever,5,29
10972,1993,Steve Burtt,5,29
21947,2013,Chris Johnson,5,29
22126,2013,Brandon Roy,5,29
22231,2013,D.J. White,5,29
23362,2015,Glenn Robinson,5,29
6288,1981,Ronnie Lester,5,30
15892,2002,Norm Richardson,5,30
15894,2002,Norm Richardson,5,30
2027,1964,Bill McGill,5,31
14433,1999,Bonzi Wells,5,31
20249,2010,Acie Law,5,31
22341,2014,MarShon Brooks,5,31
7606,1985,Don Collins,5,32
7761,1985,Mark McNamara,5,33
10896,1992,Kennard Winchester,5,35
21297,2012,Courtney Fortson,5,35
24363,2017,Pierre Jackson,5,35
20174,2010,Lester Hudson,5,36
20191,2010,Allen Iverson*,5,37
21185,2012,Earl Boykins,5,39
16906,2004,Wesley Person,5,40
19465,2009,Austin Croshere,5,40
21854,2013,Diante Garrett,5,40
2972,1970,Jerry Lucas*,5,41
20448,2010,Alando Tucker,5,43
22709,2014,A.J. Price,5,44
16435,2003,Jeff Trepagnier,5,45
24169,2017,Bobby Brown,5,62
23656,2016,Jarell Eddie,5,63
24683,2017,Joe Young,5,68
2559,1968,Al Jackson,6,0
5575,1979,Scott Lloyd,6,0
14465,1999,Joe Wolf,6,0
16305,2003,Mikki Moore,6,0
17962,2006,Randy Livingston,6,0
18321,2007,Will Conroy,6,0
670,1953,Kleggie Hermsen,6,1
726,1953,Bob Naber,6,1
902,1954,Isaac Walthour,6,2
1937,1963,Ralph Wells,6,2
6430,1981,Jerome Whitehead,6,2
6903,1983,Coby Dietrick,6,2
7388,1984,Steve Lingenfelter,6,2
14327,1999,Mark Pope,6,2
16553,2004,Michael Bradley,6,3
22315,2014,Andris Biedrins,6,3
24607,2017,Isaiah Taylor,6,3
359,1951,Ray Ellefson,6,4
8392,1987,Jerry Eaves,6,4
9842,1990,Jawann Oldham,6,4
13994,1999,Benoit Benjamin,6,4
23735,2016,Chuck Hayes,6,4
2205,1965,Gerry Ward,6,5
4742,1977,Darrell Elston,6,5
6488,1982,Roger Burkman,6,5
7967,1986,Butch Carter,6,5
8237,1986,Sedric Toney,6,5
11900,1995,Adrian Caldwell,6,5
14167,1999,Jerald Honeycutt,6,5
18615,2007,Theo Ratliff,6,5
19422,2009,Dee Brown,6,5
23415,2015,Russ Smith,6,5
568,1952,Paul Noel,6,6
4521,1976,Greg Lee,6,6
5194,1978,George Karl,6,6
8058,1986,Rod Higgins,6,6
11485,1994,Bill Edwards,6,6
12618,1996,Todd Mundt,6,6
13116,1997,Joe Kleine,6,6
18759,2008,Chris Andersen,6,6
22974,2015,Patrick Christopher,6,6
23294,2015,Lucas Nogueira,6,6
310,1950,Bob Wood,6,7
963,1955,Bob Knight,6,7
12650,1996,Mike Peplowski,6,7
13810,1998,Roy Rogers,6,7
24638,2017,Greivis Vasquez,6,7
678,1953,Ralph Johnson,6,8
865,1954,Bob Peterson,6,8
3308,1971,Willie Williams,6,8
5775,1980,Corky Calhoun,6,8
6396,1981,Robert Smith,6,8
7708,1985,Charles Jones,6,8
9234,1989,Orlando Graham,6,8
10624,1992,Bob Hansen,6,8
11193,1993,Alan Ogg,6,8
11788,1994,Keith Tower,6,8
14055,1999,Marty Conlon,6,8
15669,2002,Dean Garrett,6,8
17088,2005,Kenny Anderson,6,8
23097,2015,JaMychal Green,6,8
514,1952,Dillard Crocker,6,9
10643,1992,Dave Hoppen,6,9
11463,1994,Michael Curry,6,9
13728,1998,Lawrence Moten,6,9
13980,1999,Anthony Avent,6,9
14233,1999,Mark Macon,6,9
16393,2003,Kenny Satterfield,6,9
17193,2005,Derrick Coleman,6,9
19628,2009,Linton Johnson,6,9
24520,2017,Lamar Patterson,6,9
7,1950,Gene Berce,6,10
4476,1976,Steve Hawes,6,10
8157,1986,Chuck Nevitt,6,10
10256,1991,Anthony Mason,6,10
13134,1997,Brad Lohaus,6,10
13678,1998,Randy Livingston,6,10
17656,2005,Qyntel Woods,6,10
18067,2006,Vitaly Potapenko,6,10
19168,2008,Kosta Perovic,6,10
7234,1984,Charles Bradley,6,11
7639,1985,Jerry Eaves,6,11
10164,1991,Stuart Gray,6,11
11814,1994,Corey Williams,6,11
12326,1996,Elmer Bennett,6,11
12733,1996,Reggie Slater,6,11
15654,2002,Isaac Fontaine,6,11
15867,2002,Elliot Perry,6,11
16533,2004,Troy Bell,6,11
24622,2017,Axel Toupane,6,11
1638,1961,Pickles Kennedy,6,12
1820,1963,Cleveland Buckner,6,12
6285,1981,Edmund Lawrence,6,12
7143,1983,Robert Smith,6,12
7969,1986,Bill Cartwright,6,12
12874,1997,Elmer Bennett,6,12
13921,1998,Spud Webb,6,12
18725,2007,Eric Williams,6,12
19632,2009,Dwayne Jones,6,12
19903,2009,Marcus Williams,6,12
871,1954,Frank Reddout,6,13
10346,1991,Jeff Sanders,6,13
11192,1993,Alan Ogg,6,13
12942,1997,Joe Courtney,6,13
15452,2001,Jamel Thomas,6,13
16650,2004,Ndudi Ebi,6,13
19513,2009,Desmon Farmer,6,13
21750,2013,Ronnie Brewer,6,13
23805,2016,Dahntay Jones,6,13
2803,1969,Bud Olsen,6,14
5033,1978,Ron Behagen,6,14
11868,1995,Tony Bennett,6,14
13602,1998,Derek Grimm,6,14
18851,2008,Brian Cook,6,14
21136,2012,Morris Almond,6,14
22787,2014,Adonis Thomas,6,14
24513,2017,Chinanu Onuaku,6,14
2165,1965,Bill McGill,6,15
10463,1992,Michael Ansley,6,15
10638,1992,Sean Higgins,6,15
11535,1994,Andres Guibert,6,15
11586,1994,Adonis Jordan,6,15
15061,2001,Sean Colson,6,15
15063,2001,Sean Colson,6,15
18427,2007,Julius Hodge,6,15
19692,2009,Pops Mensah-Bonsu,6,15
21244,2012,Eric Dawson,6,15
4026,1974,Joe Reaves,6,16
5779,1980,Kenny Carr,6,16
7838,1985,Robert Smith,6,16
16095,2003,Mateen Cleaves,6,16
24580,2017,Wayne Selden,6,16
354,1951,Hank DeZonie,6,17
939,1955,Bill Gabor,6,17
3827,1973,Cornell Warner,6,17
6829,1983,J.J. Anderson,6,17
13431,1998,B.J. Armstrong,6,17
10482,1992,Kenny Battle,6,18
24506,2017,Johnny O'Bryant,6,18
1584,1961,Ernie Beck,6,19
16182,2003,Adam Harrington,6,19
981,1955,Boris Nachamkin,6,20
3086,1971,Elgin Baylor*,6,20
8645,1987,Scott Wedman,6,20
11051,1993,Gerald Glass,6,20
12994,1997,Brian Evans,6,20
13307,1997,Shawnelle Scott,6,20
15830,2002,Mamadou N'Diaye,6,20
23126,2015,Xavier Henry,6,20
1296,1958,Tom Marshall,6,21
2606,1968,Jim Reid,6,21
9092,1988,Ricky Wilson,6,21
9772,1990,Jim Les,6,21
11021,1993,Pat Durham,6,21
11769,1994,Andre Spencer,6,21
24489,2017,Georges Niang,6,21
16902,2004,Kendrick Perkins,6,22
21186,2012,Craig Brackins,6,22
1796,1962,Bill Smith,6,23
3045,1970,Bill Turner,6,23
11183,1993,Ed Nealy,6,23
17199,2005,Omar Cook,6,23
22378,2014,Earl Clark,6,23
8923,1988,Andre Moore,6,24
16141,2003,Joseph Forte,6,24
14057,1999,James Cotton,6,25
16161,2003,Anthony Goldwire,6,25
9948,1990,Andre Turner,6,26
13891,1998,Brooks Thompson,6,26
16632,2004,Derrick Dial,6,26
20307,2010,Patty Mills,6,26
18596,2007,Eric Piatkowski,6,27
21871,2013,Danny Granger,6,27
23304,2015,Arinze Onuaku,6,27
24204,2017,Quinn Cook,6,27
7548,1984,Sam Williams,6,28
18158,2006,Dijon Thompson,6,28
19821,2009,Cedric Simmons,6,28
23032,2015,Zoran Dragic,6,28
20633,2011,Earl Clark,6,29
2992,1970,Erwin Mueller,6,30
6764,1982,Kevin Stacom,6,30
17964,2006,John Lucas,6,30
1629,1961,Ron Johnson,6,31
10551,1992,Quintin Dailey,6,31
12572,1996,Jeff Malone,6,31
19197,2008,Jeremy Richardson,6,31
24545,2017,Tim Quarterman,6,31
21100,2011,Jason Williams,6,33
21448,2012,DeAndre Liggins,6,33
13047,1997,Darrin Hancock,6,34
19230,2008,Kirk Snyder,6,34
18087,2006,Anthony Roberson,6,35
18747,2008,Maurice Ager,6,36
23618,2016,Pat Connaughton,6,36
19784,2009,Jeremy Richardson,6,37
2509,1968,Len Chappell,6,38
4028,1974,Tom Riker,6,38
15156,2001,Anfernee Hardaway,6,39
20424,2010,Sebastian Telfair,6,39
14704,2000,Kevin Johnson,6,40
