,Year,Player,PF,PTS
5673,1979,Dick Snyder,52,205
20880,2011,Cartier Martin,52,209
24519,2017,Chandler Parsons,52,210
9959,1990,Jay Vincent,52,214
9502,1989,Jay Vincent,52,217
3757,1973,Howard Porter,52,218
5994,1980,Stan Pietkiewicz,52,228
4970,1977,Lloyd Walton,52,229
3042,1970,Al Tucker,52,231
12193,1995,Trevor Ruffin,52,233
13865,1998,Bryant Stith,52,235
16653,2004,Howard Eisley,52,240
20258,2010,Shaun Livingston,52,240
17052,2004,Eric Williams,52,243
18618,2007,J.J. Redick,52,252
3429,1972,Ron Knight,52,255
10214,1991,Steve Kerr,52,271
10639,1992,Sean Higgins,52,276
20294,2010,Jodie Meeks,52,281
11642,1994,Moses Malone*,52,294
5124,1978,Mike Flynn,52,295
23199,2015,Jeremy Lamb,52,295
19314,2008,Marcus Williams,52,313
5993,1980,Roger Phegley,52,327
17211,2005,Baron Davis,52,340
2815,1969,Flynn Robinson,52,343
22604,2014,Brook Lopez,52,352
20572,2011,Chauncey Billups,52,368
21270,2012,Monta Ellis,52,370
10529,1992,Cedric Ceballos,52,462
14320,1999,Wesley Person,52,503
21158,2012,Andrea Bargnani,52,603
21544,2012,Derrick Rose,52,852
17227,2005,DeSagana Diop,53,40
16919,2004,Joel Przybilla,53,49
109,1950,Gene James,53,52
10292,1991,Alan Ogg,53,54
23570,2016,DeJuan Blair,53,61
23889,2016,Mike Miller,53,63
11804,1994,Chris Whitney,53,72
18493,2007,Viktor Khryapa,53,73
21691,2013,Lou Amundson,53,76
17532,2005,Jamal Sampson,53,79
23403,2015,Greg Smith,53,80
4470,1976,Matt Guokas,53,83
17654,2005,Kevin Willis,53,87
1631,1961,Howie Jolliff,53,103
3263,1971,Garfield Smith,53,106
3372,1972,Terry Driscoll,53,107
7611,1985,Jeff Cook,53,109
8610,1987,Bernard Thompson,53,111
12720,1996,Dwayne Schintzius,53,111
15581,2002,Jud Buechler,53,111
3054,1970,John Warren,53,112
12747,1996,Eric Snow,53,115
1958,1964,Donnie Butcher,53,116
21679,2013,Quincy Acy,53,116
17497,2005,Vitaly Potapenko,53,117
3514,1972,Larry Siegfried,53,118
8896,1988,Pace Mannion,53,123
18767,2008,Darrell Armstrong,53,123
2713,1969,Hank Finkel,53,129
891,1954,Joe Smyth,53,131
16386,2003,John Salmons,53,132
896,1954,Dick Surhoff,53,133
8656,1987,Gus Williams,53,138
19439,2009,Matt Carroll,53,139
24628,2017,P.J. Tucker,53,139
10986,1993,Doug Christie,53,142
13075,1997,Bobby Hurley,53,143
14330,1999,Vitaly Potapenko,53,143
23025,2015,Spencer Dinwiddie,53,145
6039,1980,Larry Steele,53,146
9954,1990,Kelvin Upshaw,53,160
19947,2010,Chucky Atkins,53,161
13562,1998,Harold Ellis,53,164
13418,1998,Cory Alexander,53,165
19931,2010,Rafer Alston,53,165
22035,2013,Khris Middleton,53,165
23288,2015,Jameer Nelson,53,167
18719,2007,Mike Wilks,53,170
5664,1979,Al Skinner,53,182
22478,2014,Drew Gooden,53,183
12782,1996,Rex Walters,53,186
20000,2010,Derrick Brown,53,186
5075,1978,Ken Charles,53,188
22173,2013,Mirza Teletovic,53,188
14530,2000,Chucky Brown,53,190
15614,2002,Vonteego Cummings,53,192
17078,2005,Malik Allen,53,194
11553,1994,Rod Higgins,53,195
9693,1990,Scott Haffner,53,196
11916,1995,Steve Colter,53,196
5174,1978,Charles Johnson,53,199
14466,1999,Haywoode Workman,53,200
8037,1986,Kenny Green,53,201
22629,2014,C.J. McCollum,53,201
23340,2015,Pablo Prigioni,53,201
17474,2005,Jannero Pargo,53,204
6124,1981,Austin Carr,53,208
8500,1987,Wes Matthews,53,208
9877,1990,David Rivers,53,219
11118,1993,Bernard King*,53,223
10185,1991,Sean Higgins,53,225
8746,1988,Tyrone Corbin,53,232
14230,1999,Sam Mack,53,242
15311,2001,Tracy Murray,53,257
18465,2007,Sarunas Jasikevicius,53,273
15058,2001,Derrick Coleman,53,277
10904,1992,Danny Young,53,280
20176,2010,Larry Hughes,53,297
9335,1989,John Lucas,53,310
4700,1977,Mack Calvin,53,323
12344,1996,Scott Brooks,53,352
20150,2010,Luther Head,53,357
18480,2007,Damon Jones,53,393
10128,1991,Dale Ellis,53,406
20357,2010,A.J. Price,53,410
6110,1981,Ron Brewer,53,425
22901,2015,Andrea Bargnani,53,430
22424,2014,Luol Deng,53,438
12123,1995,Chris Mullin*,53,476
21499,2012,Steve Nash,53,772
20821,2011,Jared Jeffries,54,47
7954,1986,Mike Brittain,54,54
154,1950,John Mandic,54,66
6174,1981,John Duren,54,71
317,1951,Ed Bartels,54,72
5035,1978,Mel Bennett,54,74
10345,1991,Ralph Sampson*,54,74
22445,2014,Reggie Evans,54,81
144,1950,Ron Livingstone,54,85
20952,2011,Kendrick Perkins,54,87
18111,2006,Brian Skinner,54,88
21254,2012,Boris Diaw,54,93
7152,1983,Vince Taylor,54,95
22935,2015,Elton Brand,54,96
1988,1964,Jerry Greenspan,54,98
8799,1988,Artis Gilmore*,54,101
11283,1993,Elmore Spencer,54,104
11729,1994,Stanley Roberts,54,104
11979,1995,Greg Foster,54,104
20120,2010,Aaron Gray,54,104
8071,1986,Marc Iavaroni,54,105
17019,2004,Samaki Walker,54,105
20188,2010,Didier Ilunga-Mbenga,54,105
14968,2001,Tariq Abdul-Wahad,54,111
9761,1990,Frank Kornet,54,113
23368,2015,Thomas Robinson,54,115
6580,1982,Steve Hayes,54,117
547,1952,Jack Kiley,54,118
21521,2012,Sasha Pavlovic,54,120
2719,1969,Pat Frink,54,123
4516,1976,John Lambert,54,123
23882,2016,Salah Mejri,54,125
9616,1990,Ben Coleman,54,126
23010,2015,Brandon Davies,54,126
4191,1975,Bernie Fryer,54,127
14420,1999,Loy Vaught,54,127
15244,2001,Tyronn Lue,54,130
13837,1998,Dickey Simpkins,54,132
16580,2004,Mitchell Butler,54,134
10596,1992,Tom Garrick,54,137
2188,1965,John Rudometkin,54,138
16313,2003,Dikembe Mutombo*,54,138
17933,2006,Linton Johnson,54,142
5438,1979,Ron Carter,54,144
455,1951,Jim Riffey,54,150
2577,1968,George Lehmann,54,153
14640,2000,Devean George,54,155
4120,1975,Dennis Bell,54,156
97,1950,Billy Hassett,54,161
18483,2007,Eddie Jones,54,161
12982,1997,Acie Earl,54,162
